anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S24-00001,DL01XX7316,2026-08-01T00:03:00Z,Kherki Daula Toll Plaza,1,NORTHBOUND,0.97,DL01XX7361
ANPR-S24-00002,DL08XX2048,2026-08-01T00:37:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.96,
ANPR-S24-00003,DL09XX3118,2026-08-01T01:01:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.85,DL09XX3181
ANPR-S24-00004,DL12XX6600,2026-08-01T01:19:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.92,
ANPR-S24-00005,DL11XX6129,2026-08-01T01:54:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.87,
ANPR-S24-00006,DL08XX3090,2026-08-01T02:08:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.92,
ANPR-S24-00007,DL03XX8531,2026-08-01T02:34:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.83,
ANPR-S24-00008,DL07XX9885,2026-08-01T03:03:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.97,DL07XX9858
ANPR-S24-00009,DL05XX8426,2026-08-01T03:26:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.88,DL05XX8462
ANPR-S24-00010,DL02XX4251,2026-08-01T03:50:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.94,
ANPR-S24-00011,DL11XX6233,2026-08-01T04:25:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.87,
ANPR-S24-00012,DL02XX5401,2026-08-01T04:42:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.83,DL02XX5410
ANPR-S24-00013,DL04XX8649,2026-08-01T05:07:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.86,DL04XX8694
ANPR-S24-00014,DL12XX1346,2026-08-01T05:41:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.89,
ANPR-S24-00015,DL02XX7469,2026-08-01T06:02:00Z,Kherki Daula Toll Plaza,6,INBOUND,0.87,DL02XX7496
ANPR-S24-00016,DL03XX6707,2026-08-01T06:32:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.84,DL03XX6770
ANPR-S24-00017,DL07XX7835,2026-08-01T06:50:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.98,
ANPR-S24-00018,DL14XX1189,2026-08-01T07:16:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.89,
ANPR-S24-00019,DL04XX8279,2026-08-01T07:48:00Z,Kherki Daula Toll Plaza,5,INBOUND,0.93,DL04XX8297
ANPR-S24-00020,DL01XX5207,2026-08-01T08:14:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.93,DL01XX5270
ANPR-S24-00021,DL12XX6047,2026-08-01T08:25:00Z,Kherki Daula Toll Plaza,2,NORTHBOUND,0.9,DL12XX6074
ANPR-S24-00022,DL09XX1973,2026-08-01T09:04:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.9,
ANPR-S24-00023,DL13XX2743,2026-08-01T09:14:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.97,
ANPR-S24-00024,DL12XX5276,2026-08-01T09:35:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.83,DL12XX5267
ANPR-S24-00025,DL04XX4685,2026-08-01T10:15:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.85,
