anpr_id,vehicle_id_or_plate,timestamp,toll_plaza,lane,direction,confidence,ocr_corrected
ANPR-S03-00001,DL05XX6780,2026-01-01T00:15:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.85,DL05XX6708
ANPR-S03-00002,DL04XX1486,2026-01-01T00:30:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.98,
ANPR-S03-00003,DL14XX4677,2026-01-01T01:06:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.89,
ANPR-S03-00004,DL14XX2793,2026-01-01T01:35:00Z,Kherki Daula Toll Plaza,5,OUTBOUND,0.93,
ANPR-S03-00005,DL06XX6652,2026-01-01T01:57:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.84,
ANPR-S03-00006,DL13XX5862,2026-01-01T02:07:00Z,Kherki Daula Toll Plaza,4,SOUTHBOUND,0.85,
ANPR-S03-00007,DL11XX2481,2026-01-01T02:37:00Z,Kherki Daula Toll Plaza,2,INBOUND,0.88,
ANPR-S03-00008,DL12XX6567,2026-01-01T02:59:00Z,Kherki Daula Toll Plaza,2,OUTBOUND,0.99,DL12XX6576
ANPR-S03-00009,DL09XX7565,2026-01-01T03:24:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.9,DL09XX7556
ANPR-S03-00010,DL07XX8168,2026-01-01T04:04:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.98,
ANPR-S03-00011,DL12XX7091,2026-01-01T04:22:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.88,
ANPR-S03-00012,DL13XX2392,2026-01-01T04:43:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.99,
ANPR-S03-00013,DL03XX7024,2026-01-01T05:07:00Z,Kherki Daula Toll Plaza,4,NORTHBOUND,0.82,
ANPR-S03-00014,DL09XX5448,2026-01-01T05:34:00Z,Kherki Daula Toll Plaza,1,SOUTHBOUND,0.94,DL09XX5484
ANPR-S03-00015,DL11XX7874,2026-01-01T06:08:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.91,DL11XX7847
ANPR-S03-00016,DL02XX8935,2026-01-01T06:33:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.95,
ANPR-S03-00017,DL08XX2485,2026-01-01T06:42:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.88,
ANPR-S03-00018,DL06XX7819,2026-01-01T07:15:00Z,Kherki Daula Toll Plaza,6,SOUTHBOUND,0.82,
ANPR-S03-00019,DL09XX1623,2026-01-01T07:39:00Z,Kherki Daula Toll Plaza,3,INBOUND,0.97,DL09XX1632
ANPR-S03-00020,DL12XX4255,2026-01-01T07:58:00Z,Kherki Daula Toll Plaza,4,OUTBOUND,0.91,
ANPR-S03-00021,DL03XX8113,2026-01-01T08:31:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.92,DL03XX8131
ANPR-S03-00022,DL12XX5129,2026-01-01T08:47:00Z,Kherki Daula Toll Plaza,2,SOUTHBOUND,0.87,
ANPR-S03-00023,DL09XX6477,2026-01-01T09:16:00Z,Kherki Daula Toll Plaza,1,INBOUND,0.9,DL09XX6477
ANPR-S03-00024,DL02XX7632,2026-01-01T09:40:00Z,Kherki Daula Toll Plaza,3,OUTBOUND,0.92,DL02XX7623
ANPR-S03-00025,DL13XX8137,2026-01-01T10:09:00Z,Kherki Daula Toll Plaza,5,NORTHBOUND,0.99,DL13XX8173
ANPR-S03-00026,DL10XX8264,2026-01-01T10:31:00Z,Kherki Daula Toll Plaza,5,SOUTHBOUND,0.87,DL10XX8246
ANPR-S03-00027,DL07XX1129,2026-01-01T10:53:00Z,Kherki Daula Toll Plaza,4,INBOUND,0.88,DL07XX1192
ANPR-S03-00028,DL03XX2460,2026-01-01T11:32:00Z,Kherki Daula Toll Plaza,1,OUTBOUND,0.84,DL03XX2406
ANPR-S03-00029,DL11XX2026,2026-01-01T11:42:00Z,Kherki Daula Toll Plaza,6,NORTHBOUND,0.94,
